HugoSymbol	grch38RefSeq	grch38Isoform
MTHFD2	NM_006636	ENST00000394053
MTHFR	NM_005957.5	ENST00000376590
MTOR	NM_004958.3	ENST00000361445
MUTYH	NM_001128425.2	ENST00000710952
MYB	NM_005375	ENST00000367814
MYBL1	NM_001080416	ENST00000522677
MYC	NM_002467.4	ENST00000621592
MYCL	NM_001033082.2	ENST00000397332
MYCN	NM_005378.4	ENST00000281043
MYD88		ENST00000650905
MYH11	NM_002474	ENST00000300036
MYO5A	NM_000259	ENST00000399231
MYOD1	NM_002478.4	ENST00000250003
NAB2	NM_005967.4	ENST00000300131
NADK		ENST00000378625
NBN	NM_002485.4	ENST00000265433
NCOA3	NM_181659.2	ENST00000371998
NCOA4	NM_001145263.2	ENST00000581486
NCOR1	NM_006311.3	ENST00000268712
NCOR2	NM_006312.6	ENST00000405201
NCSTN	NM_015331.2	ENST00000294785
NEGR1	NM_173808.2	ENST00000357731
NF1	NM_000267.3	ENST00000356175
NF2	NM_000268.3	ENST00000338641
NFATC2	NM_173091.4	ENST00000396009
NFE2	NM_001136023.2	ENST00000312156
NFE2L2	NM_006164.4	ENST00000397062
NFKBIA	NM_020529.2	ENST00000216797
NFKBIE	NM_004556	ENST00000275015
NHERF1	NM_004252	ENST00000262613
NKX2-1	NM_001079668.2	ENST00000354822
NKX3-1	NM_006167.3	ENST00000380871
NOTCH1	NM_017617.5	ENST00000651671
NOTCH2	NM_024408.3	ENST00000256646
NOTCH3	NM_000435.2	ENST00000263388
NOTCH4	NM_004557.3	ENST00000375023
NPM1	NM_002520.6	ENST00000296930
NQO1	NM_000903	ENST00000320623
NR4A3	NM_006981.3	ENST00000395097
NRAS	NM_002524.4	ENST00000369535
NRG1	NM_013964.3	ENST00000405005
NSD1	NM_022455.4	ENST00000439151
NSD2	NM_001042424.2	ENST00000382891
