HugoSymbol	grch38RefSeq	grch38Isoform
FOXA1	NM_004496.3	ENST00000250448
FOXF1	NM_001451.2	ENST00000262426
FOXL2	NM_023067.3	ENST00000648323
FOXN4	NM_213596	ENST00000299162
FOXO1	NM_002015.3	ENST00000379561
FOXO3	NM_001455	ENST00000343882
FOXP1	NM_001244814.1	ENST00000318789
FRS2	NM_001042555	ENST00000397997
FSTL1	NM_007085	ENST00000295633
FUBP1	NM_003902.3	ENST00000370768
FURIN	NM_001289823.1	ENST00000268171
FUS	NM_004960	ENST00000254108
FYN	NM_153047.3	ENST00000368678
FZR1	NM_001136198	ENST00000395095
GAB1		ENST00000262995
GAB2	NM_080491.2	ENST00000361507
GABRA6	NM_000811	ENST00000274545
GATA1	NM_002049.3	ENST00000376670
GATA2	NM_032638.4	ENST00000341105
GATA3	NM_002051.2	ENST00000346208
